,tweet_id,created_at,user_id,retweeted_status_id,retweeted_user_id,credibility_score
375,1340637389509812224,2020-12-20 12:37:16+00:00,1972786862,1340630803538206721,1032615842,5.0
376,1340637612768452608,2020-12-20 12:38:09+00:00,1162664172511014912,1340621267511197698,136920216,95.0
377,1340637667369869312,2020-12-20 12:38:22+00:00,319106670,1340606630145253376,1683455144,5.0
378,1340638419265986564,2020-12-20 12:41:21+00:00,851391300,1340360451444666368,1015661811700510724,80.0
380,1340639848298930176,2020-12-20 12:47:02+00:00,140032760,1340630803538206721,1032615842,5.0
382,1340639961738055680,2020-12-20 12:47:29+00:00,2887988230,1340427316573462530,1063806444380798976,95.0
386,1340641364485271552,2020-12-20 12:53:03+00:00,366660837,1340630803538206721,1032615842,5.0
388,1340641975431798784,2020-12-20 12:55:29+00:00,944157752812883968,1340401356205645824,764345623,90.0
391,1340642584100818946,2020-12-20 12:57:54+00:00,50608867,1340642260300513281,53672896,100.0
398,1340646216015749120,2020-12-20 13:12:20+00:00,3500433015,1340593989301493768,2182945495,64.5
403,1340648092362813442,2020-12-20 13:19:47+00:00,510786998,1340635561938149377,469398862,80.0
407,1340648915100721152,2020-12-20 13:23:04+00:00,1250705117378158593,1340648491782197248,1192636619167322112,7.5
414,1340649345247563779,2020-12-20 13:24:46+00:00,308905321,1340648596262281217,776465110856589312,95.0
416,1340649600890368005,2020-12-20 13:25:47+00:00,555300363,1340648491782197248,1192636619167322112,7.5
417,1340649742691422212,2020-12-20 13:26:21+00:00,424084271,1340606630145253376,1683455144,5.0
418,1340649878414905345,2020-12-20 13:26:53+00:00,709858248682250240,1339871968842149888,429312499,87.5
423,1340650636375969793,2020-12-20 13:29:54+00:00,2934024047,1340649007652200448,133342361,0.0
424,1340650702985682952,2020-12-20 13:30:10+00:00,424084271,1330823107666472966,363251033,75.0
427,1340650885718917135,2020-12-20 13:30:53+00:00,424084271,1340356633424216064,1683455144,5.0
428,1340650896393445377,2020-12-20 13:30:56+00:00,711830999227899906,1340648596262281217,776465110856589312,95.0
429,1340651083069308928,2020-12-20 13:31:40+00:00,1125440833099112448,1340648596262281217,776465110856589312,95.0
430,1340651115977838593,2020-12-20 13:31:48+00:00,2340908304,1340648596262281217,776465110856589312,95.0
433,1340651743860944898,2020-12-20 13:34:18+00:00,962239504894578688,1330823107666472966,363251033,75.0
434,1340651768821280770,2020-12-20 13:34:24+00:00,424084271,1340606307125121024,78567974,82.5
435,1340652030038323200,2020-12-20 13:35:26+00:00,2340908304,1340606630145253376,1683455144,5.0
439,1340653432433217539,2020-12-20 13:41:01+00:00,740101940143591424,1340628273970237440,1072167411984551936,100.0
440,1340653438892437528,2020-12-20 13:41:02+00:00,792793865489117184,1340648596262281217,776465110856589312,95.0
